grid_id,grid_lat,grid_lon,year,event_count,mean_mag,max_mag,mean_depth,event_occur
-1.0_123.0,-1.0,123.0,2021,12,4.815833333333333,5.24,96.22500000000001,1
-1.0_123.0,-1.0,123.0,2022,19,4.794736842105263,5.27,96.35263157894737,1
-1.0_123.0,-1.0,123.0,2023,10,4.93,6.15,83.35,1
-1.0_123.0,-1.0,123.0,2024,7,4.718571428571429,5.13,87.12857142857142,1
-1.0_123.0,-1.0,123.0,2025,5,5.086,6.0,77.34,1
-1.0_124.0,-1.0,124.0,2015,12,4.840833333333333,5.41,53.69166666666666,1
-1.0_124.0,-1.0,124.0,2016,5,4.862,5.15,45.379999999999995,1
-1.0_124.0,-1.0,124.0,2017,2,4.59,4.63,21.35,1
-1.0_124.0,-1.0,124.0,2018,4,4.855,5.07,43.65,1
-1.0_124.0,-1.0,124.0,2019,11,4.824545454545454,5.3,25.799999999999997,1
-1.0_124.0,-1.0,124.0,2020,17,4.941764705882353,5.37,45.38235294117647,1
-1.0_124.0,-1.0,124.0,2021,21,4.845238095238095,6.0,17.023809523809526,1
-1.0_124.0,-1.0,124.0,2022,11,4.851818181818182,5.34,30.41818181818182,1
-1.0_124.0,-1.0,124.0,2023,3,4.843333333333333,4.88,23.066666666666666,1
-1.0_124.0,-1.0,124.0,2024,4,5.015000000000001,5.31,30.95,1
-1.0_124.0,-1.0,124.0,2025,1,4.59,4.59,68.3,1
-1.0_125.0,-1.0,125.0,2015,3,4.823333333333333,5.29,36.166666666666664,1
-1.0_125.0,-1.0,125.0,2016,4,4.7125,5.12,41.1,1
-1.0_125.0,-1.0,125.0,2017,4,5.2725,5.47,55.05,1
-1.0_125.0,-1.0,125.0,2018,2,5.02,5.49,33.95,1
-1.0_125.0,-1.0,125.0,2019,7,4.905714285714287,5.33,19.342857142857145,1
-1.0_125.0,-1.0,125.0,2020,9,4.970000000000001,5.43,24.466666666666665,1
-1.0_125.0,-1.0,125.0,2021,8,4.95875,5.56,29.725,1
-1.0_125.0,-1.0,125.0,2022,1,4.71,4.71,10.0,1
-1.0_125.0,-1.0,125.0,2023,6,4.935,5.9,32.050000000000004,1
-1.0_125.0,-1.0,125.0,2024,6,4.945,5.29,22.650000000000002,1
-1.0_125.0,-1.0,125.0,2025,2,4.6,4.68,25.65,1
