kecamatan,jumlah_penduduk,kepadatan_penduduk_km2,rasio_jenis_kelamin,laju_pertumbuhan,persentase_penduduk,provinsi,kabupaten,tahun,source_file
Sindangagung,40800.0,3133.0,101.4,1.25,3.39,Jawa Barat,Kabupaten Kuningan,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Kuningan\data_penduduk_kabupate_001.xlsx
Kuningan,115000.0,3843.0,101.6,1.69,9.57,Jawa Barat,Kabupaten Kuningan,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Kuningan\data_penduduk_kabupate_001.xlsx
Cigugur,49200.0,1394.0,102.5,0.98,4.09,Jawa Barat,Kabupaten Kuningan,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Kuningan\data_penduduk_kabupate_001.xlsx
Kramatmulya,45500.0,2697.0,100.2,0.36,3.79,Jawa Barat,Kabupaten Kuningan,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Kuningan\data_penduduk_kabupate_001.xlsx
Jalaksana,50400.0,1284.0,102.2,1.02,4.19,Jawa Barat,Kabupaten Kuningan,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Kuningan\data_penduduk_kabupate_001.xlsx
Japara,23600.0,870.0,104.0,1.86,1.96,Jawa Barat,Kabupaten Kuningan,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Kuningan\data_penduduk_kabupate_001.xlsx
Cilimus,53800.0,1523.0,100.9,1.32,4.47,Jawa Barat,Kabupaten Kuningan,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Kuningan\data_penduduk_kabupate_001.xlsx
Cigandamekar,34300.0,1528.0,106.0,1.59,2.85,Jawa Barat,Kabupaten Kuningan,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Kuningan\data_penduduk_kabupate_001.xlsx
Mandirancan,25100.0,717.0,99.0,1.49,2.09,Jawa Barat,Kabupaten Kuningan,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Kuningan\data_penduduk_kabupate_001.xlsx
Pancalang,26300.0,1371.0,103.0,1.46,2.19,Jawa Barat,Kabupaten Kuningan,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Kuningan\data_penduduk_kabupate_001.xlsx
Pasawahan,23500.0,477.0,100.8,0.68,1.96,Jawa Barat,Kabupaten Kuningan,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Kuningan\data_penduduk_kabupate_001.xlsx
Kuningan,1201800.0,1006.0,102.6,1.04,100.0,Jawa Barat,Kabupaten Kuningan,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Kuningan\data_penduduk_kabupate_001.xlsx
Lemahsugih,65200.0,836.0,104.0,0.84,4.82,Jawa Barat,Kabupaten Majalengka,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Majalengka\data_penduduk_kabupate_001.xlsx
Bantarujeg,47400.0,716.0,99.0,0.62,3.5,Jawa Barat,Kabupaten Majalengka,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Majalengka\data_penduduk_kabupate_001.xlsx
Malausma,50300.0,1131.0,106.0,1.38,3.72,Jawa Barat,Kabupaten Majalengka,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Majalengka\data_penduduk_kabupate_001.xlsx
Cikijing,70200.0,1627.0,100.0,1.06,5.19,Jawa Barat,Kabupaten Majalengka,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Majalengka\data_penduduk_kabupate_001.xlsx
Cingambul,45200.0,1239.0,101.0,1.61,3.34,Jawa Barat,Kabupaten Majalengka,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Majalengka\data_penduduk_kabupate_001.xlsx
Talaga,49300.0,1141.0,102.0,0.85,3.64,Jawa Barat,Kabupaten Majalengka,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Majalengka\data_penduduk_kabupate_001.xlsx
Banjaran,25200.0,602.0,98.0,0.24,1.87,Jawa Barat,Kabupaten Majalengka,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Majalengka\data_penduduk_kabupate_001.xlsx
Argapura,37400.0,621.0,103.0,0.67,2.76,Jawa Barat,Kabupaten Majalengka,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Majalengka\data_penduduk_kabupate_001.xlsx
Maja,53200.0,820.0,101.0,0.55,3.94,Jawa Barat,Kabupaten Majalengka,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Majalengka\data_penduduk_kabupate_001.xlsx
Majalengka,74100.0,1304.0,100.0,0.38,5.48,Jawa Barat,Kabupaten Majalengka,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Majalengka\data_penduduk_kabupate_001.xlsx
Cigasong,39000.0,1627.0,101.0,0.88,2.89,Jawa Barat,Kabupaten Majalengka,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Majalengka\data_penduduk_kabupate_001.xlsx
Sukahaji,49700.0,1550.0,99.0,1.55,3.68,Jawa Barat,Kabupaten Majalengka,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Majalengka\data_penduduk_kabupate_001.xlsx
Sindang,17800.0,754.0,98.0,1.44,1.32,Jawa Barat,Kabupaten Majalengka,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Majalengka\data_penduduk_kabupate_001.xlsx
Rajagaluh,48700.0,1431.0,102.0,1.06,3.6,Jawa Barat,Kabupaten Majalengka,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Majalengka\data_penduduk_kabupate_001.xlsx
Sindangwangi,35700.0,1135.0,102.0,1.07,2.64,Jawa Barat,Kabupaten Majalengka,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Majalengka\data_penduduk_kabupate_001.xlsx
Leuwimunding,66900.0,2081.0,104.0,1.2,4.94,Jawa Barat,Kabupaten Majalengka,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Majalengka\data_penduduk_kabupate_001.xlsx
Palasah,56100.0,1467.0,101.0,1.38,4.15,Jawa Barat,Kabupaten Majalengka,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Majalengka\data_penduduk_kabupate_001.xlsx
Jatiwangi,92500.0,2325.0,100.0,0.69,6.84,Jawa Barat,Kabupaten Majalengka,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Majalengka\data_penduduk_kabupate_001.xlsx
Dawuan,48500.0,2046.0,99.0,0.48,3.59,Jawa Barat,Kabupaten Majalengka,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Majalengka\data_penduduk_kabupate_001.xlsx
Kasokandel,55300.0,169.0,100.0,1.24,4.09,Jawa Barat,Kabupaten Majalengka,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Majalengka\data_penduduk_kabupate_001.xlsx
Panyingkiran,33700.0,1477.0,100.0,0.81,2.49,Jawa Barat,Kabupaten Majalengka,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Majalengka\data_penduduk_kabupate_001.xlsx
Kadipaten,48500.0,2232.0,101.0,0.68,3.59,Jawa Barat,Kabupaten Majalengka,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Majalengka\data_penduduk_kabupate_001.xlsx
Kertajati,49400.0,360.0,96.0,1.0,3.65,Jawa Barat,Kabupaten Majalengka,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Majalengka\data_penduduk_kabupate_001.xlsx
Jatitujuh,56500.0,77.0,97.0,0.62,4.18,Jawa Barat,Kabupaten Majalengka,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Majalengka\data_penduduk_kabupate_001.xlsx
Ligung,69200.0,1126.0,96.0,1.38,5.12,Jawa Barat,Kabupaten Majalengka,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Majalengka\data_penduduk_kabupate_001.xlsx
Sumberjaya,67400.0,2079.0,99.0,1.13,4.98,Jawa Barat,Kabupaten Majalengka,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Majalengka\data_penduduk_kabupate_001.xlsx
Majalengka,1352500.0,31973.0,101.0,0.95,100.0,Jawa Barat,Kabupaten Majalengka,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Majalengka\data_penduduk_kabupate_001.xlsx
Cimerak,50000.0,426.0,100.0,0.92,11.69,Jawa Barat,Kabupaten Pangandaran,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Pangandaran\data_penduduk_kabupate_001.xlsx
Cijulang,28000.0,317.0,96.0,0.19,6.47,Jawa Barat,Kabupaten Pangandaran,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Pangandaran\data_penduduk_kabupate_001.xlsx
Cigugur,23000.0,226.0,102.0,0.53,5.36,Jawa Barat,Kabupaten Pangandaran,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Pangandaran\data_penduduk_kabupate_001.xlsx
Langkaplancar,52000.0,292.0,102.0,0.54,11.99,Jawa Barat,Kabupaten Pangandaran,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Pangandaran\data_penduduk_kabupate_001.xlsx
Parigi,47000.0,480.0,98.0,0.64,10.9,Jawa Barat,Kabupaten Pangandaran,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Pangandaran\data_penduduk_kabupate_001.xlsx
Sidamulih,30000.0,391.0,99.0,0.79,7.06,Jawa Barat,Kabupaten Pangandaran,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Pangandaran\data_penduduk_kabupate_001.xlsx
Pangandaran,60000.0,980.0,100.0,0.8,13.81,Jawa Barat,Kabupaten Pangandaran,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Pangandaran\data_penduduk_kabupate_001.xlsx
Kalipucang,39000.0,283.0,100.0,0.44,8.98,Jawa Barat,Kabupaten Pangandaran,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Pangandaran\data_penduduk_kabupate_001.xlsx
Padaherang,69000.0,585.0,100.0,0.72,16.11,Jawa Barat,Kabupaten Pangandaran,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Pangandaran\data_penduduk_kabupate_001.xlsx
Mangunjaya,33000.0,1004.0,100.0,0.81,7.63,Jawa Barat,Kabupaten Pangandaran,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Pangandaran\data_penduduk_kabupate_001.xlsx
Pangandaran,431000.0,427.0,100.0,0.67,100.0,Jawa Barat,Kabupaten Pangandaran,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Pangandaran\data_penduduk_kabupate_001.xlsx
Jatiluhur,78400.0,1304.0,1.0,1.57,7.46,Jawa Barat,Kabupaten Purwakarta,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Purwakarta\data_penduduk_kabupate_001.xlsx
Sukasari,18300.0,199.0,1.1,1.57,1.74,Jawa Barat,Kabupaten Purwakarta,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Purwakarta\data_penduduk_kabupate_001.xlsx
Maniis,37700.0,527.0,1.1,1.23,3.59,Jawa Barat,Kabupaten Purwakarta,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Purwakarta\data_penduduk_kabupate_001.xlsx
Tegal Waru,56600.0,773.0,1.1,1.66,5.39,Jawa Barat,Kabupaten Purwakarta,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Purwakarta\data_penduduk_kabupate_001.xlsx
Plered,87900.0,2791.0,1.0,1.39,8.36,Jawa Barat,Kabupaten Purwakarta,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Purwakarta\data_penduduk_kabupate_001.xlsx
Sukatani,81900.0,858.0,1.0,1.68,7.79,Jawa Barat,Kabupaten Purwakarta,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Purwakarta\data_penduduk_kabupate_001.xlsx
Darangdan,75000.0,1113.0,1.0,1.51,7.14,Jawa Barat,Kabupaten Purwakarta,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Purwakarta\data_penduduk_kabupate_001.xlsx
Bojong,56000.0,815.0,1.1,1.48,5.33,Jawa Barat,Kabupaten Purwakarta,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Purwakarta\data_penduduk_kabupate_001.xlsx
Wanayasa,44700.0,790.0,1.1,0.83,4.25,Jawa Barat,Kabupaten Purwakarta,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Purwakarta\data_penduduk_kabupate_001.xlsx
Kiarapedes,30200.0,579.0,1.1,1.65,2.87,Jawa Barat,Kabupaten Purwakarta,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Purwakarta\data_penduduk_kabupate_001.xlsx
Pasawahan,52900.0,1431.0,1.0,1.8,5.03,Jawa Barat,Kabupaten Purwakarta,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Purwakarta\data_penduduk_kabupate_001.xlsx
Pondok Salam,32300.0,733.0,1.0,1.33,3.08,Jawa Barat,Kabupaten Purwakarta,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Purwakarta\data_penduduk_kabupate_001.xlsx
Purwakarta,183000.0,7370.0,1.0,0.56,17.42,Jawa Barat,Kabupaten Purwakarta,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Purwakarta\data_penduduk_kabupate_001.xlsx
Babakancikao,64900.00000000001,1530.0,1.0,2.15,6.18,Jawa Barat,Kabupaten Purwakarta,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Purwakarta\data_penduduk_kabupate_001.xlsx
Campaka,54000.0,1239.0,1.0,1.89,5.14,Jawa Barat,Kabupaten Purwakarta,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Purwakarta\data_penduduk_kabupate_001.xlsx
Cibatu,32800.0,580.0,1.0,1.25,3.12,Jawa Barat,Kabupaten Purwakarta,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Purwakarta\data_penduduk_kabupate_001.xlsx
Bungursari,63900.0,1170.0,1.0,1.45,6.09,Jawa Barat,Kabupaten Purwakarta,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Purwakarta\data_penduduk_kabupate_001.xlsx
Purwakarta,1050300.0,1081.0,1.0,1.38,100.0,Jawa Barat,Kabupaten Purwakarta,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Purwakarta\data_penduduk_kabupate_001.xlsx
Sagalaherang,33700.0,606.0,102.4,1.88,2.04,Jawa Barat,Kabupaten Subang,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Subang\data_penduduk_kabupate_001.xlsx
Serangpanjang,26300.0,369.0,102.4,1.34,1.6,Jawa Barat,Kabupaten Subang,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Subang\data_penduduk_kabupate_001.xlsx
Jalancagak,50100.0,954.0,102.8,2.07,3.04,Jawa Barat,Kabupaten Subang,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Subang\data_penduduk_kabupate_001.xlsx
Ciater,30100.0,477.0,102.9,1.37,1.83,Jawa Barat,Kabupaten Subang,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Subang\data_penduduk_kabupate_001.xlsx
Cisalak,43000.0,434.0,103.1,1.53,2.61,Jawa Barat,Kabupaten Subang,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Subang\data_penduduk_kabupate_001.xlsx
Kasomalang,44200.0,893.0,103.1,1.51,2.68,Jawa Barat,Kabupaten Subang,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Subang\data_penduduk_kabupate_001.xlsx
Tanjungsiang,46200.0,733.0,102.3,1.3,2.8,Jawa Barat,Kabupaten Subang,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Subang\data_penduduk_kabupate_001.xlsx
Cijambe,42700.0,385.0,102.1,1.45,2.59,Jawa Barat,Kabupaten Subang,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Subang\data_penduduk_kabupate_001.xlsx
Cibogo,50000.0,774.0,99.6,2.32,3.03,Jawa Barat,Kabupaten Subang,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Subang\data_penduduk_kabupate_001.xlsx
Subang,143900.0,2.0,99.8,2.02,8.72,Jawa Barat,Kabupaten Subang,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Subang\data_penduduk_kabupate_001.xlsx
Kalijati,68400.0,759.0,99.6,1.69,4.14,Jawa Barat,Kabupaten Subang,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Subang\data_penduduk_kabupate_001.xlsx
Dawuan,42900.0,463.0,99.5,1.61,2.6,Jawa Barat,Kabupaten Subang,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Subang\data_penduduk_kabupate_001.xlsx
Cipeundeuy,50700.0,521.0,99.5,1.63,3.07,Jawa Barat,Kabupaten Subang,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Subang\data_penduduk_kabupate_001.xlsx
Pabuaran,65900.0,874.0,99.0,1.39,3.99,Jawa Barat,Kabupaten Subang,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Subang\data_penduduk_kabupate_001.xlsx
Patokbeusi,84100.0,915.0,99.1,1.33,5.1,Jawa Barat,Kabupaten Subang,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Subang\data_penduduk_kabupate_001.xlsx
Purwadadi,60500.0,775.0,101.2,1.04,3.67,Jawa Barat,Kabupaten Subang,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Subang\data_penduduk_kabupate_001.xlsx
Cikaum,51300.0,692.0,100.5,1.61,3.16,Jawa Barat,Kabupaten Subang,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Subang\data_penduduk_kabupate_001.xlsx
Pagaden,64099.99999999999,1.0,99.2,1.42,3.94,Jawa Barat,Kabupaten Subang,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Subang\data_penduduk_kabupate_001.xlsx
Pagaden Barat,35100.0,684.0,96.7,0.99,2.15,Jawa Barat,Kabupaten Subang,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Subang\data_penduduk_kabupate_001.xlsx
Cipunagara,65400.00000000001,625.0,99.6,1.52,4.03,Jawa Barat,Kabupaten Subang,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Subang\data_penduduk_kabupate_001.xlsx
Compreng,50100.0,677.0,99.9,1.82,3.09,Jawa Barat,Kabupaten Subang,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Subang\data_penduduk_kabupate_001.xlsx
Binong,47600.0,920.0,100.5,1.56,2.93,Jawa Barat,Kabupaten Subang,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Subang\data_penduduk_kabupate_001.xlsx
Tambakdahan,44500.0,709.0,97.1,1.51,2.74,Jawa Barat,Kabupaten Subang,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Subang\data_penduduk_kabupate_001.xlsx
Ciasem,112100.0,1.0,101.4,1.5,6.9,Jawa Barat,Kabupaten Subang,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Subang\data_penduduk_kabupate_001.xlsx
Pamanukan,59500.0,2.0,103.2,1.34,3.66,Jawa Barat,Kabupaten Subang,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Subang\data_penduduk_kabupate_001.xlsx
Sukasari,43000.0,730.0,99.9,1.39,2.64,Jawa Barat,Kabupaten Subang,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Subang\data_penduduk_kabupate_001.xlsx
Pusakanagara,44800.0,768.0,99.0,2.01,2.77,Jawa Barat,Kabupaten Subang,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Subang\data_penduduk_kabupate_001.xlsx
Pusakajaya,49100.0,947.0,99.1,1.48,3.02,Jawa Barat,Kabupaten Subang,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Subang\data_penduduk_kabupate_001.xlsx
Legonkulon,24300.0,386.0,100.6,1.62,1.5,Jawa Barat,Kabupaten Subang,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Subang\data_penduduk_kabupate_001.xlsx
Blanakan,65000.0,638.0,100.5,1.24,3.99,Jawa Barat,Kabupaten Subang,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Subang\data_penduduk_kabupate_001.xlsx
Subang,1624400.0,762.0,100.4,1.57,100.0,Jawa Barat,Kabupaten Subang,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Subang\data_penduduk_kabupate_001.xlsx
Ciemas,57400.0,188.0,103.1,0.98,2.05,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Ciracap,57900.0,390.0,100.0,1.16,2.07,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Waluran,31800.0,322.0,102.2,1.21,1.14,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Surade,84000.0,704.0,99.6,0.79,3.0,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Cibitung,30800.0,346.0,100.7,1.22,1.1,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Jampang Kulon,48600.0,777.0,100.9,0.86,1.74,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Cimanggu,27100.0,433.0,104.0,1.21,0.97,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Kali Bunder,32700.0,380.0,106.5,1.05,1.17,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Tegal Buleud,36900.0,144.0,100.4,0.34,1.32,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Cidolog,17300.0,181.0,99.9,-0.54,0.62,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Sagaranten,54100.0,479.0,99.8,0.64,1.93,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Cidadap,19900.0,232.0,100.9,0.07,0.71,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Curugkembar,31700.0,567.0,100.5,0.41,1.13,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Pabuaran,45400.0,393.0,103.3,0.67,1.62,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Lengkong,34200.0,233.0,103.5,0.83,1.22,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Palabuhanratu,120100.0,1.0,103.6,1.32,4.28,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Simpenan,60100.0,358.0,103.3,1.34,2.15,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Warung Kiara,67500.0,710.0,105.2,1.21,2.41,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Bantargadung,42600.0,560.0,105.6,1.09,1.52,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Jampang Tengah,72300.0,364.0,101.9,0.66,2.58,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Purabaya,45700.0,394.0,103.3,0.74,1.63,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Cikembar,98100.0,1.0,101.2,1.28,3.5,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Nyalindung,53400.0,512.0,101.0,0.73,1.91,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Geger Bitung,43500.0,644.0,101.7,0.98,1.55,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Sukaraja,98000.0,2.0,101.0,1.52,3.5,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Kebonpedes,35100.0,3.0,98.7,1.66,1.25,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Cireunghas,37100.0,1.0,99.9,0.91,1.32,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Sukalarang,52600.0,2.0,97.9,1.42,1.88,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Sukabumi,52300.0,2.0,102.5,0.54,1.87,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Kadudampit,60400.0,862.0,104.2,1.03,2.15,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Cisaat,132400.0,6.0,101.1,0.77,4.72,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
Gunungguruh,58600.0,2.0,100.8,1.16,2.09,Jawa Barat,Kabupaten Sukabumi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Sukabumi\data_penduduk_kabupate_001.xlsx
