grid_id,grid_lat,grid_lon,year,event_count,mean_mag,max_mag,mean_depth,event_occur,event_count_next,event_next
-1.0_125.0,-1.0,125.0,2024,6,4.945,5.29,22.65,1,2,1
-1.0_126.0,-1.0,126.0,2015,1,4.84,4.84,10.0,1,2,1
-1.0_126.0,-1.0,126.0,2018,1,4.61,4.61,83.3,1,1,1
-1.0_126.0,-1.0,126.0,2021,4,5.5575,6.44,224.275,1,2,1
-1.0_126.0,-1.0,126.0,2022,2,4.76,4.89,10.7,1,1,1
-1.0_127.0,-1.0,127.0,2015,1,4.67,4.67,123.9,1,2,1
-1.0_127.0,-1.0,127.0,2016,2,4.6,4.61,29.3,1,1,1
-1.0_127.0,-1.0,127.0,2017,1,4.55,4.55,10.0,1,1,1
-1.0_127.0,-1.0,127.0,2018,1,4.94,4.94,59.6,1,32,1
-1.0_127.0,-1.0,127.0,2019,32,4.8871875000000005,6.02,23.328125,1,7,1
-1.0_127.0,-1.0,127.0,2020,7,4.717142857142858,4.82,10.0,1,4,1
-1.0_127.0,-1.0,127.0,2023,1,4.77,4.77,23.1,1,3,1
-1.0_128.0,-1.0,128.0,2019,19,5.110526315789474,7.11,13.463157894736844,1,3,1
-1.0_128.0,-1.0,128.0,2020,3,5.126666666666666,5.42,76.13333333333334,1,1,1
-1.0_128.0,-1.0,128.0,2021,1,5.45,5.45,289.6,1,3,1
-1.0_129.0,-1.0,129.0,2016,1,5.43,5.43,21.7,1,1,1
-1.0_129.0,-1.0,129.0,2022,2,4.78,4.86,10.0,1,1,1
-1.0_130.0,-1.0,130.0,2017,1,5.3,5.3,106.9,1,1,1
-1.0_130.0,-1.0,130.0,2018,1,4.68,4.68,19.6,1,1,1
-1.0_131.0,-1.0,131.0,2015,3,5.383333333333333,6.27,15.933333333333332,1,1,1
-1.0_131.0,-1.0,131.0,2016,1,4.58,4.58,22.2,1,2,1
-1.0_131.0,-1.0,131.0,2017,2,4.55,4.6,10.0,1,2,1
-1.0_131.0,-1.0,131.0,2021,8,4.86125,5.37,48.7,1,1,1
-1.0_132.0,-1.0,132.0,2015,1,4.67,4.67,10.0,1,2,1
-1.0_132.0,-1.0,132.0,2016,2,4.695,4.84,37.55,1,2,1
-1.0_132.0,-1.0,132.0,2017,2,4.64,4.72,28.55,1,2,1
-1.0_132.0,-1.0,132.0,2018,2,4.73,4.93,27.6,1,1,1
-1.0_132.0,-1.0,132.0,2022,2,4.605,4.63,10.0,1,1,1
-1.0_132.0,-1.0,132.0,2023,1,4.92,4.92,10.0,1,1,1
-1.0_133.0,-1.0,133.0,2015,2,4.665,4.73,31.75,1,2,1
-1.0_133.0,-1.0,133.0,2016,2,4.73,4.75,32.800000000000004,1,1,1
-1.0_133.0,-1.0,133.0,2017,1,4.67,4.67,18.1,1,3,1
-1.0_133.0,-1.0,133.0,2018,3,4.653333333333333,4.72,46.16666666666666,1,3,1
-1.0_133.0,-1.0,133.0,2019,3,5.206666666666666,5.84,23.666666666666668,1,1,1
-1.0_133.0,-1.0,133.0,2020,1,4.59,4.59,22.6,1,2,1
-1.0_133.0,-1.0,133.0,2021,2,4.855,5.05,10.0,1,7,1
-1.0_133.0,-1.0,133.0,2022,7,4.755714285714285,4.87,17.885714285714286,1,2,1
-1.0_133.0,-1.0,133.0,2023,2,4.895,4.97,15.5,1,1,1
-1.0_134.0,-1.0,134.0,2019,2,5.055,5.23,23.65,1,2,1
-1.0_134.0,-1.0,134.0,2020,2,4.73,4.73,16.15,1,1,1
-1.0_135.0,-1.0,135.0,2017,1,4.67,4.67,23.6,1,1,1
-1.0_96.0,-1.0,96.0,2015,1,4.87,4.87,10.0,1,1,1
-1.0_96.0,-1.0,96.0,2016,1,4.84,4.84,10.0,1,2,1
-1.0_96.0,-1.0,96.0,2017,2,4.785,4.81,28.95,1,1,1
-1.0_96.0,-1.0,96.0,2021,3,4.773333333333333,5.14,15.733333333333334,1,2,1
-1.0_97.0,-1.0,97.0,2018,1,4.65,4.65,14.2,1,3,1
-1.0_97.0,-1.0,97.0,2021,1,4.57,4.57,21.5,1,5,1
-1.0_97.0,-1.0,97.0,2022,5,4.904,5.22,20.880000000000003,1,4,1
-1.0_98.0,-1.0,98.0,2019,4,4.9375,5.6,43.85,1,4,1
-1.0_98.0,-1.0,98.0,2020,4,4.88,5.24,128.675,1,2,1
-1.0_98.0,-1.0,98.0,2021,2,4.76,4.94,33.2,1,9,1
-1.0_98.0,-1.0,98.0,2022,9,5.241111111111112,6.72,35.044444444444444,1,11,1
-1.0_99.0,-1.0,99.0,2018,4,4.85,5.03,61.525000000000006,1,3,1
-1.0_99.0,-1.0,99.0,2019,3,4.8500000000000005,5.23,53.16666666666666,1,3,1
-1.0_99.0,-1.0,99.0,2020,3,4.930000000000001,5.28,13.266666666666666,1,1,1
-1.0_99.0,-1.0,99.0,2024,3,4.8,4.89,35.53333333333333,1,1,1
-10.0_101.0,-10.0,101.0,2020,1,5.55,5.55,10.0,1,2,1
-10.0_103.0,-10.0,103.0,2020,1,6.34,6.34,145.5,1,1,1
-10.0_105.0,-10.0,105.0,2020,3,5.4433333333333325,5.58,10.0,1,1,1
-10.0_106.0,-10.0,106.0,2015,2,4.845000000000001,4.94,52.3,1,1,1
-10.0_106.0,-10.0,106.0,2016,1,4.94,4.94,17.9,1,1,1
-10.0_106.0,-10.0,106.0,2019,3,5.1000000000000005,5.87,18.53333333333333,1,3,1
-10.0_106.0,-10.0,106.0,2023,1,4.5,4.5,184.2,1,2,1
-10.0_106.0,-10.0,106.0,2024,2,4.785,4.84,10.0,1,1,1
-10.0_107.0,-10.0,107.0,2016,1,4.74,4.74,54.0,1,2,1
-10.0_107.0,-10.0,107.0,2017,2,4.94,4.95,21.15,1,1,1
-10.0_107.0,-10.0,107.0,2018,1,4.76,4.76,27.5,1,2,1
-10.0_107.0,-10.0,107.0,2019,2,4.72,4.85,21.35,1,1,1
-10.0_107.0,-10.0,107.0,2020,1,4.8,4.8,10.0,1,2,1
-10.0_107.0,-10.0,107.0,2021,2,5.015000000000001,5.11,27.15,1,2,1
-10.0_107.0,-10.0,107.0,2022,2,4.615,4.72,10.0,1,2,1
-10.0_107.0,-10.0,107.0,2023,2,4.535,4.54,21.85,1,7,1
-10.0_108.0,-10.0,108.0,2015,3,4.6033333333333335,4.65,31.26666666666667,1,2,1
-10.0_108.0,-10.0,108.0,2016,2,4.605,4.7,21.35,1,1,1
-10.0_108.0,-10.0,108.0,2019,3,5.739999999999999,6.15,14.066666666666668,1,5,1
-10.0_108.0,-10.0,108.0,2020,5,4.806,5.17,23.98,1,2,1
-10.0_108.0,-10.0,108.0,2021,2,5.17,5.71,10.0,1,2,1
-10.0_108.0,-10.0,108.0,2022,2,5.13,5.13,41.0,1,1,1
-10.0_109.0,-10.0,109.0,2020,1,4.88,4.88,17.5,1,1,1
-10.0_109.0,-10.0,109.0,2021,1,5.12,5.12,10.0,1,4,1
-10.0_110.0,-10.0,110.0,2015,6,4.698333333333333,4.86,32.0,1,1,1
-10.0_110.0,-10.0,110.0,2016,1,4.67,4.67,10.0,1,2,1
-10.0_110.0,-10.0,110.0,2017,2,4.775,5.01,20.55,1,2,1
-10.0_110.0,-10.0,110.0,2018,2,4.75,4.95,22.45,1,1,1
-10.0_110.0,-10.0,110.0,2019,1,4.66,4.66,10.0,1,4,1
-10.0_110.0,-10.0,110.0,2020,4,5.3425,5.75,10.0,1,1,1
-10.0_110.0,-10.0,110.0,2021,1,4.62,4.62,10.0,1,2,1
-10.0_110.0,-10.0,110.0,2022,2,4.97,5.38,25.55,1,1,1
-10.0_110.0,-10.0,110.0,2023,1,5.9,5.9,10.0,1,4,1
-10.0_111.0,-10.0,111.0,2015,1,4.97,4.97,10.0,1,5,1
-10.0_111.0,-10.0,111.0,2016,5,4.822,5.1,41.34,1,8,1
-10.0_111.0,-10.0,111.0,2017,8,4.85375,5.52,31.8625,1,3,1
-10.0_111.0,-10.0,111.0,2018,3,4.573333333333333,4.65,10.0,1,2,1
-10.0_111.0,-10.0,111.0,2019,2,4.8100000000000005,4.94,38.6,1,1,1
-10.0_111.0,-10.0,111.0,2020,1,4.74,4.74,10.0,1,6,1
-10.0_111.0,-10.0,111.0,2021,6,4.791666666666667,4.9,10.0,1,2,1
-10.0_112.0,-10.0,112.0,2017,9,4.79,4.88,41.95555555555556,1,16,1
-10.0_112.0,-10.0,112.0,2018,16,4.74375,5.47,20.7375,1,5,1
