model,accuracy,f1_score,brier_score,mse_count
RandomForest,0.7209302325581395,0.6293436293436293,0.19963559166055528,
SVM,0.7267441860465116,0.6701754385964912,0.19471078035590958,
Poisson,,,,15.792241609696122
