model,accuracy,brier_score,log_loss,roc_auc
Random Forest,0.7703488372093024,0.15199051464255584,0.47494556207245253,0.8171408645559285
SVM (RBF),0.7558139534883721,0.22517665488182184,0.6478700360675764,0.7905203891862469
Poisson Regressor,0.7073643410852714,0.21557331596194226,0.6232863125762113,0.5
